,Date,Price,Open,High,Low,Change %,M2_Money_Supply,10Y Treasury Yield,Fed Funds Rate,CPI,Inflation_Rate_%,SOFR,Log_Return,Volatility_30D,FedFunds_Change,SOFR_Change,Intraday_Range,FedFunds_Change_Value,Change%_Value
970,2022-04-01,4545.86,4540.32,4548.7,4507.57,0.34%,21749.9,2.75,0.33,288.582,8.235161744022502,0.3,0.003404485526057287,0.014282547636429927,13.0%,1.0%,41.13000000000011,13.0,0.34
990,2022-05-02,4155.38,4130.61,4169.81,4062.51,0.57%,21690.1,2.9,0.77,291.299,8.530051713089225,0.3,0.00565927003737552,0.014226852403720042,44.0%,2.0%,107.30000000000018,44.0,0.57
1011,2022-06-01,4101.23,4149.78,4166.54,4073.85,-0.75%,21642.6,3.14,1.21,295.072,8.999298141923106,0.8,-0.007510923912143033,0.019900591154719892,44.0%,1.0%,92.69000000000005,44.0,-0.75
1032,2022-07-01,3825.33,3781.0,3829.82,3752.1,1.06%,21641.9,2.9,1.68,294.94,8.447778206754553,1.52,0.010498459915641863,0.017558845967722152,47.0%,2.0%,77.72000000000025,47.0,1.06
1052,2022-08-01,4118.63,4112.38,4144.95,4096.02,-0.28%,21607.0,2.9,2.33,295.162,8.216255059541266,2.28,-0.002827038634318699,0.012844215486296919,65.0%,1.0%,48.92999999999938,65.0,-0.28
1075,2022-09-01,3966.85,3936.73,3970.23,3903.65,0.30%,21521.3,3.52,2.56,296.421,8.205751582451759,2.29,0.0029917276491103818,0.012628146521738897,23.0%,0.0%,66.57999999999993,23.0,0.3
1096,2022-10-03,3678.43,3609.78,3698.35,3604.93,2.59%,21424.5,3.98,3.08,297.979,7.757261470809462,3.0,0.02555462879740763,0.015663771173971025,52.0%,2.0%,93.42000000000007,52.0,2.59
1116,2022-11-01,3856.1,3901.79,3911.79,3843.8,-0.41%,21357.6,3.89,3.78,298.708,7.131380368978291,3.05,-0.004109694089746853,0.0171389281063115,70.0%,0.0%,67.98999999999978,70.0,-0.41
1136,2022-12-01,4076.57,4087.14,4100.51,4050.87,-0.09%,21219.2,3.62,4.1,298.808,6.410831677385809,3.82,-0.000868000270271791,0.016113976556475743,32.0%,0.0%,49.64000000000033,32.0,-0.09
1157,2023-01-03,3824.14,3853.29,3878.46,3794.33,-0.40%,21205.4,3.53,4.33,300.456,6.340296309929161,4.31,-0.0040085443908070935,0.011937441128594227,23.0%,1.0%,84.13000000000011,23.0,-0.4
1177,2023-02-01,4119.21,4070.07,4148.95,4037.2,1.05%,21185.4,3.75,4.57,301.476,5.957648712766894,4.31,0.010398089735210484,0.01057252847542083,24.0%,0.0%,111.75,24.0,1.05
1196,2023-03-01,3951.39,3963.34,3971.73,3939.05,-0.47%,20876.9,3.66,4.65,301.643,4.931348641757127,4.55,-0.00473646161527038,0.010290285918524395,8.0%,0.0%,32.679999999999836,8.0,-0.47
1219,2023-04-03,4124.51,4102.2,4127.66,4098.79,0.37%,20730.0,3.46,4.83,302.858,4.946947488062325,4.84,0.003692093649516912,0.010933228230346797,18.0%,-3.0%,28.86999999999989,18.0,0.37
1238,2023-05-01,4167.87,4166.79,4186.92,4164.12,-0.04%,20801.3,3.57,5.06,303.316,4.125314539356473,4.81,-0.0003862138497272949,0.008091460740862326,23.0%,0.0%,22.800000000000182,23.0,-0.04
1260,2023-06-01,4221.02,4183.03,4232.43,4171.64,0.99%,20782.8,3.75,5.08,304.099,3.0592533347792994,5.08,0.009806229149665344,0.008708308928512007,2.0%,0.0%,60.789999999999964,2.0,0.99
1281,2023-07-03,4455.59,4450.48,4456.46,4442.29,0.12%,20772.3,3.9,5.12,304.615,3.28032820234625,5.06,0.0011700018289601843,0.007077068074659024,4.0%,-3.0%,14.170000000000073,4.0,0.12
1301,2023-08-01,4576.73,4578.83,4584.62,4567.53,-0.27%,20747.3,4.17,5.33,306.138,3.718635867760756,5.31,-0.002668649552448092,0.005688089600495181,21.0%,0.0%,17.090000000000146,21.0,-0.27
