,Price,Open,High,Low,M2_Money_Supply,10Y Treasury Yield,Fed Funds Rate,CPI,Inflation_Rate_%,SOFR,Log_Return,Volatility_30D,Intraday_Range
count,1777.0,1777.0,1777.0,1777.0,1777.0,1777.0,1777.0,1777.0,1777.0,1777.0,1777.0,1777.0,1777.0
mean,4042.8087394485087,4041.97756893641,4065.31625773776,4017.080906021384,19118.974395047833,2.7537929093978613,2.5044400675295444,282.55032751828924,3.604953778760748,2.4950759707371972,0.0004591210154698921,0.010754500845678696,48.235351716375924
std,995.3206378962932,994.9159409632116,998.6730688496128,991.1566847233375,2809.134212338515,1.2755776459954167,2.017051811725837,24.68080191335697,2.2755844427545107,2.027622511426206,0.0127647775046441,0.006969921601898504,35.27576234327631
min,2237.4,2290.7,2300.7,2191.9,14049.6,0.62,0.05,250.792,0.1982013035848551,0.01,-0.12765733657068626,0.0035241118758585865,5.5
25%,3090.2,3084.2,3098.1,3070.3,15467.0,1.62,0.1,257.879,2.000583470209061,0.09,-0.0046006224481401495,0.006789901321177842,25.5
50%,4048.42,4046.74,4076.81,4015.55,20730.0,2.89,2.27,280.806,2.854124785561929,2.27,0.0008808327792157024,0.008704773520306842,39.94999999999982
75%,4577.1,4578.83,4599.39,4554.71,21317.4,3.98,4.57,307.374,4.946947488062325,4.55,0.006701012782986727,0.012613703158338102,61.30000000000018
max,6173.07,6150.7,6187.68,6132.35,21942.0,4.8,5.33,320.58,8.999298141923106,5.4,0.09089490164871482,0.054091111142020566,532.9099999999999
