,SP500_Return,SP500_Volatility,FedFunds,FedFunds_Change
count,85.0,85.0,85.0,85.0
mean,0.010980165772829406,0.01052838859347108,2.5154117647058833,0.030941176470588232
std,0.04966892430146027,0.007279112628069777,2.0321449803812013,0.2153547656078871
min,-0.12511001286304246,0.003567932053625766,0.05,-0.93
25%,-0.01808482082941887,0.006716048180467583,0.1,0.0
50%,0.020196869910062976,0.008742790216718147,2.27,0.0
75%,0.04361725421502083,0.012293035498117314,4.57,0.040000000000000036
max,0.12682813588176134,0.0593328391317607,5.33,0.6999999999999997
